Date,Index,Ticker,Current Price,Predicted,Change %,Confidence,Model,Actual Price,Accuracy
2025-12-10 16:36,Russell 2000 (RUT),RUT,$2535.49,$2522.55,-0.51%,83.1%,Linear Regression,Pending,N/A
2025-12-10 16:36,Dow Jones (DJI),DJI,$47808.69,$47718.02,-0.19%,84.1%,Linear Regression,Pending,N/A
2025-12-10 16:36,NASDAQ 100 (NDX),NDX,$25616.42,$25773.28,0.61%,83.9%,Linear Regression,Pending,N/A
2025-12-10 16:36,S&P 500 (SPX),SPX,$6848.38,$6860.10,0.17%,84.5%,Linear Regression,Pending,N/A
2025-12-10 16:34,Russell 2000 (RUT),RUT,$2535.51,$2522.56,-0.51%,83.1%,Linear Regression,Pending,N/A
2025-12-10 16:34,Dow Jones (DJI),DJI,$47798.82,$47711.39,-0.18%,84.1%,Linear Regression,Pending,N/A
2025-12-10 16:34,NASDAQ 100 (NDX),NDX,$25610.59,$25769.27,0.62%,83.9%,Linear Regression,Pending,N/A
2025-12-10 16:34,S&P 500 (SPX),SPX,$6847.96,$6859.84,0.17%,84.5%,Linear Regression,Pending,N/A
2025-12-10 14:45,Russell 2000 (RUT),RUT,$2525.03,$2515.84,-0.36%,83.1%,Linear Regression,Pending,N/A
2025-12-10 14:45,NASDAQ 100 (NDX),NDX,$25619.38,$25775.31,0.61%,83.9%,Linear Regression,Pending,N/A
2025-12-10 14:45,S&P 500 (SPX),SPX,$6838.95,$6854.14,0.22%,84.5%,Linear Regression,Pending,N/A
2025-12-10 14:40,Russell 2000 (RUT),RUT,$2520.95,$2500.02,-0.83%,83.2%,Linear Regression,Pending,N/A
2025-12-10 14:40,NASDAQ 100 (NDX),NDX,$25590.42,$25814.13,0.87%,83.9%,Linear Regression,Pending,N/A
2025-12-10 14:40,S&P 500 (SPX),SPX,$6833.27,$6857.42,0.35%,84.5%,Linear Regression,Pending,N/A
2025-12-09 23:53,Russell 2000 (RUT),RUT,$2526.24,$2525.28,-0.04%,90.0%,Linear Regression,Pending,N/A
2025-12-09 23:53,Dow Jones (DJI),DJI,$47560.29,$47558.34,-0.00%,90.0%,Linear Regression,Pending,N/A
2025-12-09 23:53,NASDAQ 100 (NDX),NDX,$25668.69,$25670.83,0.01%,90.0%,Linear Regression,Pending,N/A
2025-12-09 23:53,S&P 500 (SPX),SPX,$6840.51,$6839.85,-0.01%,90.0%,Linear Regression,Pending,N/A
2025-12-09 21:02,Russell 2000 (RUT),RUT,$2526.24,$2525.28,-0.04%,90.0%,Linear Regression,Pending,N/A
2025-12-09 21:02,NASDAQ 100 (NDX),NDX,$25668.69,$25670.83,0.01%,90.0%,Linear Regression,Pending,N/A
