IndexSymbol,SessionDate,Time_ET,Time_Display,Pin_Strike,Spot_Price,Distance_Points,Distance_Pct,Pull_Strength,Total_GEX_Billions,Net_GEX_Billions,Pin_Drift_Per_Hour,Spot_Range_Pct_Est,Data_Source
SPX,2025-12-17,2025-12-17 10:00:00,10:00 AM ET,6800.0,6803.9400000000005,-3.9400000000005093,-0.05790762411191911,0.05790762411191911,1594.0428169098636,-354.8332420475492,0.0,0.11581524822383822,Real
SPX,2025-12-17,2025-12-17 10:15:00,10:15 AM ET,6800.0,6797.24,2.7600000000002183,0.04060471603180436,0.04060471603180436,2624.9459782969902,-584.3118401828127,0.0,0.08120943206360871,Real
SPX,2025-12-17,2025-12-17 10:30:00,10:30 AM ET,6775.0,6773.41,1.5900000000001455,0.023474143747390833,0.023474143747390833,1852.543178208238,-1034.9993559428192,-100.0,0.046948287494781665,Real
SPX,2025-12-17,2025-12-17 10:45:00,10:45 AM ET,6770.0,6767.39,2.6099999999996726,0.03856730585941807,0.03856730585941807,650.78696827764,-299.8102407464891,-20.0,0.07713461171883614,Real
SPX,2025-12-17,2025-12-17 11:00:00,11:00 AM ET,6755.0,6756.35,-1.3500000000003638,-0.019981202868418063,0.019981202868418063,950.4279140506542,-873.9300575538941,-60.0,0.039962405736836126,Real
SPX,2025-12-17,2025-12-17 11:15:00,11:15 AM ET,6745.0,6745.52,-0.5200000000004366,-0.007708820076145895,0.007708820076145895,1046.1655112055466,-977.1454286092124,-40.0,0.01541764015229179,Real
SPX,2025-12-17,2025-12-17 11:30:00,11:30 AM ET,6750.0,6749.72,0.27999999999974534,0.004148320226613034,0.004148320226613034,2331.0195134441747,-2182.0932667519082,20.0,0.008296640453226069,Real
SPX,2025-12-17,2025-12-17 11:45:00,11:45 AM ET,6755.0,6754.09,0.9099999999998545,0.013473317649007556,0.013473317649007556,1012.9446202026932,-931.4149312595496,20.0,0.026946635298015113,Real
SPX,2025-12-17,2025-12-17 12:00:00,12:00 PM ET,6750.0,6750.82,-0.819999999999709,-0.012146672552367106,0.012146672552367106,2243.85224051031,-2100.4950140332626,-20.0,0.024293345104734212,Real
SPX,2025-12-17,2025-12-17 12:15:00,12:15 PM ET,6745.0,6743.35,1.6499999999996362,0.024468550497892535,0.024468550497892535,893.8666017877249,-834.894339727203,-20.0,0.04893710099578507,Real
SPX,2025-12-17,2025-12-17 12:30:00,12:30 PM ET,6750.0,6750.34,-0.3400000000001455,-0.005036783332397265,0.005036783332397265,2325.406102672401,-2176.83849055722,20.0,0.01007356666479453,Real
SPX,2025-12-17,2025-12-17 12:45:00,12:45 PM ET,6745.0,6744.2,0.8000000000001819,0.011862044423359063,0.011862044423359063,1021.6940757908317,-954.2884800758593,-20.0,0.023724088846718127,Real
SPX,2025-12-17,2025-12-17 13:00:00,01:00 PM ET,6750.0,6749.6,0.3999999999996362,0.005926277112712401,0.005926277112712401,2318.87255958196,-2170.722368275335,20.0,0.011852554225424802,Real
SPX,2025-12-17,2025-12-17 13:15:00,01:15 PM ET,6745.0,6742.63,2.369999999999891,0.03514948914592512,0.03514948914592512,742.285400656468,-693.3136087988635,-20.0,0.07029897829185024,Real
