symbol,timestamp_utc,spot,gamma_pin,distance_to_pin,gross_gex,net_gex,call_gex,put_gex,is_valid
RUT,2026-01-05 17:58:55.084153+00:00,2547.4604,2530.0,17.460399999999936,96.97483168531832,-0.6425286907427861,48.166151497287764,48.80868018803055,True
RUT,2026-01-05 18:04:01.537991+00:00,2548.4791,2530.0,18.479100000000017,96.6785851956401,-0.1470910603316753,48.26574706765421,48.412838127985886,True
RUT,2026-01-05 18:08:40.279816+00:00,2548.5784000000003,2530.0,18.57840000000033,96.64963653503095,-0.09895093301395264,48.2753428010085,48.37429373402245,True
RUT,2026-01-05 18:14:00.216922+00:00,2549.9481,2530.0,19.948100000000068,96.24906074693796,0.5622558185527993,48.40565828274538,47.84340246419258,True
RUT,2026-01-05 18:18:39.683444+00:00,2548.862,2530.0,18.86200000000008,96.56689026496274,0.03838557892566996,48.3026379219442,48.26425234301853,True
DJI,2026-01-05 18:22:46.723744+00:00,49142.81,170.0,48972.81,8.370677666783479e-45,-8.370677666783405e-45,3.701779931326271e-59,8.370677666783442e-45,False
RUT,2026-01-05 18:23:50.804921+00:00,2548.9839,2530.0,18.983900000000176,96.53129202117796,0.09734800943630972,48.31432001530713,48.21697200587082,True
NDX,2026-01-05 18:27:29.231927+00:00,25417.10889190654,25400.0,17.10889190654052,340.2183707926,-79.86061321018167,130.17887879120917,210.03949200139084,True
DJI,2026-01-05 18:27:54.647972+00:00,49146.020000000004,170.0,48976.020000000004,8.655904551856926e-45,-8.655904525132523e-45,1.3362201346000081e-53,8.655904538494724e-45,False
RUT,2026-01-05 18:28:56.549821+00:00,2550.7213,2530.0,20.721300000000156,96.0219050098519,0.9331673896745585,48.47753619976323,47.54436881008867,True
NDX,2026-01-05 18:32:36.809174+00:00,25421.8583752839,25420.0,1.8583752839003864,250.60394989740175,-71.8642656968228,89.36984210028947,161.23410779711227,True
DJI,2026-01-05 18:33:03.108355+00:00,49165.32,170.0,48995.32,9.422497406144633e-45,-9.422449633916524e-45,2.3886114054321663e-50,9.422473520030579e-45,False
RUT,2026-01-05 18:34:07.208741+00:00,2550.3256,2530.0,20.325600000000122,96.13824794535515,0.7435589139454706,48.440903429650305,47.697344515704835,True
NDX,2026-01-05 18:37:15.639398+00:00,25417.54569484715,25400.0,17.545694847151026,329.9515233165413,-79.56038784110167,125.1955677377198,204.75595557882147,True
DJI,2026-01-05 18:37:38.786509+00:00,49168.41,170.0,48998.41,9.914612174171219e-45,-9.912727721944178e-45,9.422261135207458e-49,9.913669948057699e-45,False
RUT,2026-01-05 18:38:42.508570+00:00,2550.6886,2530.0,20.68859999999995,96.03152663885113,0.9175154069080662,48.4745210228796,47.55700561597153,True
NDX,2026-01-05 18:42:22.766624+00:00,25424.40721812495,25420.0,4.407218124950305,221.3172180688954,-66.1575077998866,77.5798551345044,143.737362934391,True
DJI,2026-01-05 18:42:45.956997+00:00,49179.270000000004,170.0,49009.270000000004,1.031254955212782e-44,-1.0312549551976113e-44,7.585315621866456e-56,1.0312549552051967e-44,False
RUT,2026-01-05 18:43:44.356583+00:00,2550.3062,2530.0,20.30619999999999,96.14394696972803,0.7342514895041319,48.43909922961608,47.70484774011195,True
NDX,2026-01-05 18:47:22.996150+00:00,25438.04823751745,25450.0,-11.951762482549384,231.64841380699454,-75.87711822591626,77.88564779053914,153.7627660164554,True
DJI,2026-01-05 18:47:47.923977+00:00,49185.340000000004,170.0,49015.340000000004,1.0771446627949583e-44,-1.077144662794909e-44,2.460716152501807e-58,1.0771446627949336e-44,False
RUT,2026-01-05 18:48:51.716321+00:00,2551.8893000000003,2530.0,21.889300000000276,95.67738812406216,1.4902196618127377,48.58380389293745,47.093584231124716,True
NDX,2026-01-05 18:52:30.950787+00:00,25427.46814629705,25420.0,7.468146297051135,201.21540762832308,-60.930075521195704,70.14266605356369,131.0727415747594,True
DJI,2026-01-05 18:52:53.580566+00:00,49200.75,170.0,49030.75,1.1384671969293194e-44,-1.138465380423029e-44,9.082531450690744e-51,1.1384662886761742e-44,False
RUT,2026-01-05 18:53:55.761851+00:00,2551.8616,2530.0,21.86160000000018,95.68557746889817,1.4770543558667626,48.581315912382465,47.1042615565157,True
NDX,2026-01-05 18:57:34.897702+00:00,25428.13009497772,25420.0,8.130094977721456,198.83706572256511,-60.204224597326686,69.31642056261921,129.5206451599459,True
DJI,2026-01-05 18:57:57.561196+00:00,49200.16,170.0,49030.16,1.181161271672362e-44,-1.181161102296201e-44,8.46880804312935e-52,1.1811611869842815e-44,False
RUT,2026-01-05 18:58:57.524354+00:00,2552.7387000000003,2530.0,22.738700000000335,95.4258298003048,1.892839695268286,48.65933474778654,46.76649505251825,True
NDX,2026-01-05 19:02:36.076230+00:00,25431.86343764397,25430.0,1.8634376439695188,197.25909188612258,-59.79587732519991,68.73160728046133,128.52748460566124,True
DJI,2026-01-05 19:03:00.143692+00:00,49202.25,170.0,49032.25,1.2273453018924445e-44,-1.2255450777043602e-44,9.001120940420704e-48,1.2264451897984023e-44,False
RUT,2026-01-05 19:04:03.867162+00:00,2554.0505000000003,2530.0,24.050500000000284,95.03568824245448,2.5104785516287222,48.7730833970416,46.26260484541288,True
NDX,2026-01-05 19:07:13.432920+00:00,25425.62054095118,25420.0,5.620540951178555,211.49232294174092,-63.77190636942308,73.86020828615892,137.632114655582,True
DJI,2026-01-05 19:07:37.173477+00:00,49177.39,170.0,49007.39,1.194586579296248e-44,-1.177020789705631e-44,8.782894795308563e-47,1.1858036845009395e-44,False
RUT,2026-01-05 19:08:41.053055+00:00,2553.5997,2530.0,23.59970000000021,95.16998169929562,2.2988003833720043,48.73439104133381,46.435590657961804,True
NDX,2026-01-05 19:12:20.065842+00:00,25414.05462269751,25400.0,14.05462269750933,423.3208315711824,-77.08828815124878,173.1162717099668,250.20455986121559,True
DJI,2026-01-05 19:12:45.905108+00:00,49167.090000000004,170.0,48997.090000000004,1.1963016592953815e-44,-1.1963016592233807e-44,3.600033046604831e-55,1.196301659259381e-44,False
RUT,2026-01-05 19:13:47.689881+00:00,2552.083,2530.0,22.083000000000084,95.6200964903091,1.5822194890446823,48.601157989676885,47.0189385006322,True
NDX,2026-01-05 19:17:27.154996+00:00,25416.69627677578,25400.0,16.696276775779552,350.2975967244742,-80.01331850062292,135.14213911192564,215.15545761254856,True
DJI,2026-01-05 19:17:50.231722+00:00,49185.42,170.0,49015.42,1.2883734487389677e-44,-1.287109435140248e-44,6.320067993597362e-48,1.287741441939608e-44,False
RUT,2026-01-05 19:18:53.856043+00:00,2553.7569000000003,2530.0,23.756900000000314,95.12317787548284,2.372683838479155,48.74793085698099,46.37524701850184,True
SPX,2026-01-05 19:21:27.259303+00:00,6908.9400000000005,6910.0,-1.0599999999994907,2728.5455892969676,2133.9375361346856,2431.2415627158266,297.3040265811411,False
NDX,2026-01-05 19:22:32.220415+00:00,25414.19172765785,25400.0,14.191727657849697,419.1857627129224,-77.43876147928259,170.8735006168199,248.3122620961025,True
DJI,2026-01-05 19:22:55.535171+00:00,49177.1,170.0,49007.1,1.8348716405258333e-44,-7.405768285226423e-45,5.471474060015955e-45,1.2877242345242378e-44,False
RUT,2026-01-05 19:23:59.393063+00:00,2554.8111,2530.0,24.811099999999897,94.80858858338576,2.8662551355088794,48.83742185944732,45.97116672393844,True
SPX,2026-01-05 19:26:33.213741+00:00,6908.34,6910.0,-1.6599999999998545,2821.1444006569395,2200.2649977945116,2510.7046992257256,310.43970143121396,False
NDX,2026-01-05 19:27:37.994235+00:00,25410.32148973961,25400.0,10.321489739610115,547.5102404815855,-56.24485264952824,245.6326939160286,301.8775465655568,True
